id,book,chapter,verse,language,sentence_length,number_words,clause_length
427293,Genesis,9,1,hbo,1,8,8.0
427294,Genesis,9,1,hbo,1,3,3.0
427295,Genesis,9,1,hbo,1,1,1.0
427296,Genesis,9,1,hbo,1,2,2.0
427297,Genesis,9,1,hbo,1,5,5.0
427300,Genesis,9,2,hbo,3,28,9.333333333333334
427301,Genesis,9,2,hbo,1,3,3.0
427303,Genesis,9,3,hbo,2,9,4.5
427304,Genesis,9,3,hbo,1,7,7.0
427305,Genesis,9,4,hbo,1,7,7.0
427306,Genesis,9,5,hbo,1,7,7.0
427307,Genesis,9,5,hbo,1,5,5.0
427308,Genesis,9,5,hbo,1,14,14.0
427310,Genesis,9,6,hbo,2,9,4.5
427311,Genesis,9,6,hbo,1,8,8.0
427312,Genesis,9,7,hbo,1,3,3.0
427313,Genesis,9,7,hbo,1,2,2.0
427314,Genesis,9,7,hbo,1,4,4.0
427315,Genesis,9,7,hbo,1,3,3.0
427317,Genesis,9,8,hbo,2,11,5.5
427323,Genesis,9,10,hbo,6,42,7.0
427324,Genesis,9,11,hbo,1,5,5.0
427325,Genesis,9,11,hbo,1,10,10.0
427327,Genesis,9,11,hbo,2,9,4.5
427328,Genesis,9,12,hbo,1,3,3.0
427331,Genesis,9,12,hbo,3,20,6.666666666666667
427332,Genesis,9,13,hbo,1,6,6.0
427333,Genesis,9,13,hbo,1,10,10.0
427336,Genesis,9,14,hbo,3,15,5.0
427338,Genesis,9,15,hbo,2,16,8.0
427340,Genesis,9,15,hbo,2,12,6.0
427341,Genesis,9,16,hbo,1,7,7.0
427344,Genesis,9,16,hbo,3,20,6.666666666666667
427345,Genesis,9,17,hbo,1,5,5.0
427348,Genesis,9,17,hbo,3,15,5.0
427350,Genesis,9,18,hbo,2,14,7.0
427352,Genesis,9,18,hbo,2,5,2.5
427353,Genesis,9,19,hbo,1,4,4.0
427354,Genesis,9,19,hbo,1,7,7.0
427355,Genesis,9,20,hbo,1,2,2.0
427356,Genesis,9,20,hbo,1,4,4.0
427357,Genesis,9,20,hbo,1,3,3.0
427358,Genesis,9,21,hbo,1,5,5.0
427359,Genesis,9,21,hbo,1,2,2.0
427360,Genesis,9,21,hbo,1,5,5.0
427361,Genesis,9,22,hbo,1,8,8.0
427362,Genesis,9,22,hbo,1,8,8.0
